year,category,film,nominee,character_name,is_winner
2005,Actress -- Supporting Role,Brokeback Mountain,Michelle Williams,Alma,FALSE
2005,Directing,Brokeback Mountain,"",,TRUE
2005,Directing,Capote,"",,FALSE
2005,Directing,Crash,"",,FALSE
2005,Directing,Good Night,"",,George Clooney
2005,Directing,Munich,"",,FALSE
2004,Actor -- Leading Role,Hotel Rwanda,Don Cheadle,Paul Rusesabagina,FALSE
2004,Actor -- Leading Role,Finding Neverland,Johnny Depp,Sir James Matthew Barrie,FALSE
2004,Actor -- Leading Role,The Aviator,Leonardo DiCaprio,Howard Hughes,FALSE
2004,Actor -- Leading Role,Million Dollar Baby,Clint Eastwood,Frankie Dunn,FALSE
2004,Actor -- Leading Role,Ray,Jamie Foxx,Ray Charles,TRUE
2004,Actor -- Supporting Role,The Aviator,Alan Alda,Senator Ralph Owen Brewster,FALSE
2004,Actor -- Supporting Role,Sideways,Thomas Haden Church,Jack,FALSE
2004,Actor -- Supporting Role,Collateral,Jamie Foxx,Max,FALSE
2004,Actor -- Supporting Role,Million Dollar Baby,Morgan Freeman,Eddie Scrap-Iron Dupris,TRUE
2004,Actor -- Supporting Role,Closer,Clive Owen,Larry,FALSE
2004,Actress -- Leading Role,Being Julia,Annette Bening,Julia Lambert,FALSE
2004,Actress -- Leading Role,Maria Full of Grace,Catalina Sandino Moreno,Maria,FALSE
2004,Actress -- Leading Role,Vera Drake,Imelda Staunton,Vera,FALSE
2004,Actress -- Leading Role,Million Dollar Baby,Hilary Swank,Maggie Fitzgerald,TRUE
2004,Actress -- Leading Role,Eternal Sunshine of the Spotless Mind,Kate Winslet,Clementine Kruczynski,FALSE
2004,Actress -- Supporting Role,The Aviator,Cate Blanchett,Katharine Hepburn,TRUE
2004,Actress -- Supporting Role,Kinsey,Laura Linney,Clara McMillen,FALSE
2004,Actress -- Supporting Role,Sideways,Virginia Madsen,Maya,FALSE
2004,Actress -- Supporting Role,Hotel Rwanda,Sophie Okonedo,Tatiana Rusesabagina,FALSE
2004,Actress -- Supporting Role,Closer,Natalie Portman,Alice,FALSE
2004,Directing,The Aviator,"",,FALSE
2004,Directing,Million Dollar Baby,"",,TRUE
2004,Directing,Ray,"",,FALSE
2004,Directing,Sideways,"",,FALSE
2004,Directing,Vera Drake,"",,FALSE
2003,Actor -- Leading Role,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp,Jack Sparrow,FALSE
2003,Actor -- Leading Role,House of Sand and Fog,Ben Kingsley,Behrani,FALSE
2003,Actor -- Leading Role,Cold Mountain,Jude Law,Inman,FALSE
2003,Actor -- Leading Role,Lost in Translation,Bill Murray,Bob Harris,FALSE
2003,Actor -- Leading Role,Mystic River,Sean Penn,Jimmy Markum,TRUE
2003,Actor -- Supporting Role,The Cooler,Alec Baldwin,Shelly Kaplow,FALSE
2003,Actor -- Supporting Role,21 Grams,Benicio Del Toro,Jack Jordan,FALSE
2003,Actor -- Supporting Role,In America,Djimon Hounsou,Mateo,FALSE
2003,Actor -- Supporting Role,Mystic River,Tim Robbins,Dave Boyle,TRUE
2003,Actor -- Supporting Role,The Last Samurai,Ken Watanabe,Katsumoto,FALSE
2003,Actress -- Leading Role,Whale Rider,Keisha Castle-Hughes,Paikea,FALSE
2003,Actress -- Leading Role,Something's Gotta Give,Diane Keaton,Erica Barry,FALSE
2003,Actress -- Leading Role,In America,Samantha Morton,Sarah,FALSE
2003,Actress -- Leading Role,Monster,Charlize Theron,Aileen Wuornos,TRUE
2003,Actress -- Leading Role,21 Grams,Naomi Watts,Cristina Peck,FALSE
2003,Actress -- Supporting Role,House of Sand and Fog,Shohreh Aghdashloo,Nadi,FALSE
2003,Actress -- Supporting Role,Pieces of April,Patricia Clarkson,Joy Burns,FALSE
2003,Actress -- Supporting Role,Mystic River,Marcia Gay Harden,Celeste Boyle,FALSE
2003,Actress -- Supporting Role,Thirteen,Holly Hunter,Melanie,FALSE
2003,Actress -- Supporting Role,Cold Mountain,Renee Zellweger,Ruby Thewes,TRUE
2003,Directing,City of God,"",,FALSE
2003,Directing,The Lord of the Rings: The Return of the King,"",,TRUE
2003,Directing,Lost in Translation,"",,FALSE
2003,Directing,Master and Commander: The Far Side of the World,"",,FALSE
2003,Directing,Mystic River,"",,FALSE
2002,Actor -- Leading Role,The Pianist,Adrien Brody,Wladyslaw Szpilman,TRUE
2002,Actor -- Leading Role,Adaptation,Nicolas Cage,Charlie Kaufman & Donald Kaufman,FALSE
2002,Actor -- Leading Role,The Quiet American,Michael Caine,Thomas Fowler,FALSE
2002,Actor -- Leading Role,Gangs of New York,Daniel Day-Lewis,Bill 'The Butcher' Cutting,FALSE
2002,Actor -- Leading Role,About Schmidt,Jack Nicholson,Warren Schmidt,FALSE
2002,Actor -- Supporting Role,Adaptation,Chris Cooper,John Laroche,TRUE
2002,Actor -- Supporting Role,The Hours,Ed Harris,Richard Brown,FALSE
2002,Actor -- Supporting Role,Road to Perdition,Paul Newman,John Rooney,FALSE
2002,Actor -- Supporting Role,Chicago,John C. Reilly,Amos Hart,FALSE
2002,Actor -- Supporting Role,Catch Me If You Can,Christopher Walken,Frank Abagnale,FALSE
2002,Actress -- Leading Role,Frida,Salma Hayek,Frida Kahlo,FALSE
2002,Actress -- Leading Role,The Hours,Nicole Kidman,Virginia Woolf,TRUE
2002,Actress -- Leading Role,Unfaithful,Diane Lane,Connie Sumner,FALSE
2002,Actress -- Leading Role,Far from Heaven,Julianne Moore,Cathy Whitaker,FALSE
2002,Actress -- Leading Role,Chicago,Renee Zellweger,Roxie Hart,FALSE
2002,Actress -- Supporting Role,About Schmidt,Kathy Bates,Roberta Hertzel,FALSE
2002,Actress -- Supporting Role,The Hours,Julianne Moore,Laura Brown,FALSE
2002,Actress -- Supporting Role,Chicago,Queen Latifah,Matron Mama Morton,FALSE
2002,Actress -- Supporting Role,Adaptation,Meryl Streep,Susan Orlean,FALSE
2002,Actress -- Supporting Role,Chicago,Catherine Zeta-Jones,Velma Kelly,TRUE
2002,Directing,Chicago,"",,FALSE
2002,Directing,Gangs of New York,"",,FALSE
2002,Directing,The Hours,"",,FALSE
2002,Directing,The Pianist,"",,TRUE
2002,Directing,Talk to Her,"",,FALSE
2001,Actor -- Leading Role,A Beautiful Mind,Russell Crowe,John Nash,FALSE
2001,Actor -- Leading Role,I Am Sam,Sean Penn,Sam Dawson,FALSE
2001,Actor -- Leading Role,Ali,Will Smith,Muhammad Ali,FALSE
2001,Actor -- Leading Role,Training Day,Denzel Washington,Alonzo,TRUE
2001,Actor -- Leading Role,In the Bedroom,Tom Wilkinson,Matt Fowler,FALSE
2001,Actor -- Supporting Role,Iris,Jim Broadbent,John Bayley,TRUE
2001,Actor -- Supporting Role,Training Day,Ethan Hawke,Jake,FALSE
2001,Actor -- Supporting Role,Sexy Beast,Ben Kingsley,Don Logan,FALSE
2001,Actor -- Supporting Role,The Lord of the Rings: The Fellowship of the Ring,Ian McKellen,Gandalf,FALSE
2001,Actor -- Supporting Role,Ali,Jon Voight,Howard Cosell,FALSE
2001,Actress -- Leading Role,Monster's Ball,Halle Berry,Leticia Musgrove,TRUE
2001,Actress -- Leading Role,Iris,Judi Dench,Iris Murdoch,FALSE
2001,Actress -- Leading Role,Moulin Rouge,Nicole Kidman,Satine,FALSE
2001,Actress -- Leading Role,In the Bedroom,Sissy Spacek,Ruth Fowler,FALSE
2001,Actress -- Leading Role,Bridget Jones's Diary,Renee Zellweger,Bridget Jones,FALSE
2001,Actress -- Supporting Role,A Beautiful Mind,Jennifer Connelly,Alicia Nash,TRUE
2001,Actress -- Supporting Role,Gosford Park,Helen Mirren,Mrs. Wilson,FALSE
2001,Actress -- Supporting Role,,Maggie Smith,, Countess of Trentham'}
2001,Actress -- Supporting Role,In the Bedroom,Marisa Tomei,Natalie Strout,FALSE
2001,Actress -- Supporting Role,Iris,Kate Winslet,Young Iris Murdoch,FALSE
2001,Directing,A Beautiful Mind,"",,TRUE
2001,Directing,Black Hawk Down,"",,FALSE
2001,Directing,Gosford Park,"",,FALSE
2001,Directing,The Lord of the Rings: The Fellowship of the Ring,"",,FALSE
2001,Directing,Mulholland Drive,"",,FALSE
2000,Actor -- Leading Role,Before Night Falls,Javier Bardem,Reinaldo Arenas,FALSE
2000,Actor -- Leading Role,Gladiator,Russell Crowe,Maximus Decimus Meridius,TRUE
2000,Actor -- Leading Role,Cast Away,Tom Hanks,Chuck Noland,FALSE
2000,Actor -- Leading Role,Pollock,Ed Harris,Jackson Pollock,FALSE
2000,Actor -- Leading Role,Quills,Geoffrey Rush,The Marquis de Sade,FALSE
2000,Actor -- Supporting Role,The Contender,Jeff Bridges,President Jackson Evans,FALSE
2000,Actor -- Supporting Role,Shadow of the Vampire,Willem Dafoe,Max Schreck,FALSE
2000,Actor -- Supporting Role,Traffic,Benicio Del Toro,Javier Rodriguez,TRUE
2000,Actor -- Supporting Role,Erin Brockovich,Albert Finney,Ed Masry,FALSE
2000,Actor -- Supporting Role,Gladiator,Joaquin Phoenix,Commodus,FALSE
2000,Actress -- Leading Role,The Contender,Joan Allen,Laine Hanson,FALSE
2000,Actress -- Leading Role,Chocolat,Juliette Binoche,Vianne Rocher,FALSE
2000,Actress -- Leading Role,Requiem for a Dream,Ellen Burstyn,Sara Goldfarb,FALSE
2000,Actress -- Leading Role,You Can Count on Me,Laura Linney,Samantha 'Sammy' Prescott,FALSE
2000,Actress -- Leading Role,Erin Brockovich,Julia Roberts,Erin Brockovich,TRUE
2000,Actress -- Supporting Role,Chocolat,Judi Dench,Armande Voizin,FALSE
2000,Actress -- Supporting Role,Pollock,Marcia Gay Harden,Lee Krasner,TRUE
2000,Actress -- Supporting Role,Almost Famous,Kate Hudson,Penny Lane,FALSE
2000,Actress -- Supporting Role,Almost Famous,Frances McDormand,Elaine Miller,FALSE
2000,Actress -- Supporting Role,Billy Elliot,Julie Walters,Mrs. Wilkinson,FALSE
2000,Directing,Billy Elliot,"",,FALSE
2000,Directing,Crouching Tiger,"",,Ang Lee
2000,Directing,Erin Brockovich,"",,FALSE
2000,Directing,Gladiator,"",,FALSE
2000,Directing,Traffic,"",,TRUE
1999,Actor -- Leading Role,The Insider,Russell Crowe,Jeffrey Wigand,FALSE
1999,Actor -- Leading Role,The Straight Story,Richard Farnsworth,Alvin Straight,FALSE
1999,Actor -- Leading Role,Sweet and Lowdown,Sean Penn,Emmet Ray,FALSE
1999,Actor -- Leading Role,American Beauty,Kevin Spacey,Lester Burnham,TRUE
1999,Actor -- Leading Role,The Hurricane,Denzel Washington,Rubin 'Hurricane' Carter,FALSE
1999,Actor -- Supporting Role,The Cider House Rules,Michael Caine,Dr. Wilbur Larch,TRUE
1999,Actor -- Supporting Role,Magnolia,Tom Cruise,Frank T.J. Mackey,FALSE
1999,Actor -- Supporting Role,The Green Mile,Michael Clarke Duncan,John Coffey,FALSE
1999,Actor -- Supporting Role,The Talented Mr. Ripley,Jude Law,Dickie Greenleaf,FALSE
1999,Actor -- Supporting Role,The Sixth Sense,Haley Joel Osment,Cole Sear,FALSE
1999,Actress -- Leading Role,American Beauty,Annette Bening,Carolyn Burnham,FALSE
1999,Actress -- Leading Role,Tumbleweeds,Janet McTeer,Mary Jo Walker,FALSE
1999,Actress -- Leading Role,The End of the Affair,Julianne Moore,Sarah Miles,FALSE
1999,Actress -- Leading Role,Music of the Heart,Meryl Streep,Roberta Guaspari,FALSE
1999,Actress -- Leading Role,Boys Don't Cry,Hilary Swank,Brandon Teena/Teena Brandon,TRUE
1999,Actress -- Supporting Role,The Sixth Sense,Toni Collette,Lynn Sear,FALSE
1999,Actress -- Supporting Role,,Angelina Jolie,, Interrupted {'Lisa Rowe'}
1999,Actress -- Supporting Role,Being John Malkovich,Catherine Keener,Maxine,FALSE
1999,Actress -- Supporting Role,Sweet and Lowdown,Samantha Morton,Hattie,FALSE
1999,Actress -- Supporting Role,Boys Don't Cry,Chloe Sevigny,Lana Tisdel,FALSE
1999,Directing,American Beauty,"",,TRUE
1999,Directing,Being John Malkovich,"",,FALSE
1999,Directing,The Cider House Rules,"",,FALSE
1999,Directing,The Insider,"",,FALSE
1999,Directing,The Sixth Sense,"",,FALSE
1998,Actor -- Leading Role,Life Is Beautiful,Roberto Benigni,Guido,TRUE
1998,Actor -- Leading Role,Saving Private Ryan,Tom Hanks,Captain Miller,FALSE
1998,Actor -- Leading Role,Gods and Monsters,Ian McKellen,James Whale,FALSE
1998,Actor -- Leading Role,Affliction,Nick Nolte,Wade Whitehouse,FALSE
1998,Actor -- Leading Role,American History X,Edward Norton,Derek,FALSE
1998,Actor -- Supporting Role,Affliction,James Coburn,Glen Whitehouse,TRUE
1998,Actor -- Supporting Role,A Civil Action,Robert Duvall,Jerome Facher,FALSE
1998,Actor -- Supporting Role,The Truman Show,Ed Harris,Christof,FALSE
1998,Actor -- Supporting Role,Shakespeare in Love,Geoffrey Rush,Philip Henslowe,FALSE
1998,Actor -- Supporting Role,A Simple Plan,Billy Bob Thornton,Jacob,FALSE
1998,Actress -- Leading Role,Elizabeth,Cate Blanchett,Queen Elizabeth I,FALSE
1998,Actress -- Leading Role,Central Station,Fernanda Montenegro,Dora,FALSE
1998,Actress -- Leading Role,Shakespeare in Love,Gwyneth Paltrow,Viola De Lesseps,TRUE
1998,Actress -- Leading Role,One True Thing,Meryl Streep,Kate Gulden,FALSE
1998,Actress -- Leading Role,Hilary and Jackie,Emily Watson,Jacqueline du Pre,FALSE
1998,Actress -- Supporting Role,Primary Colors,Kathy Bates,Libby,FALSE
1998,Actress -- Supporting Role,Little Voice,Brenda Blethyn,Mari,FALSE
1998,Actress -- Supporting Role,Shakespeare in Love,Judi Dench,Queen Elizabeth I,TRUE
1998,Actress -- Supporting Role,Hilary and Jackie,Rachel Griffiths,Hilary du Pre,FALSE
1998,Actress -- Supporting Role,Gods and Monsters,Lynn Redgrave,Hanna,FALSE
1998,Directing,Life Is Beautiful,"",,FALSE
1998,Directing,Saving Private Ryan,"",,TRUE
1998,Directing,Shakespeare in Love,"",,FALSE
1998,Directing,The Thin Red Line,"",,FALSE
1998,Directing,The Truman Show,"",,FALSE
1997,Actor -- Leading Role,Good Will Hunting,Matt Damon,Will Hunting,FALSE
1997,Actor -- Leading Role,The Apostle,Robert Duvall,The Apostle E.F.,FALSE
1997,Actor -- Leading Role,Ulee's Gold,Peter Fonda,Ulee Jackson,FALSE
1997,Actor -- Leading Role,Wag the Dog,Dustin Hoffman,Stanley Motss,FALSE
1997,Actor -- Leading Role,As Good as It Gets,Jack Nicholson,Melvin Udall,TRUE
1997,Actor -- Supporting Role,Jackie Brown,Robert Forster,Max Cherry,FALSE
1997,Actor -- Supporting Role,Amistad,Anthony Hopkins,John Quincy Adams,FALSE
1997,Actor -- Supporting Role,As Good as It Gets,Greg Kinnear,Simon Bishop,FALSE
1997,Actor -- Supporting Role,Boogie Nights,Burt Reynolds,Jack Horner,FALSE
1997,Actor -- Supporting Role,Good Will Hunting,Robin Williams,Sean McGuire,TRUE
1997,Actress -- Leading Role,The Wings of the Dove,Helena Bonham Carter,Kate Croy,FALSE
1997,Actress -- Leading Role,Afterglow,Julie Christie,Phyllis Mann,FALSE
1997,Actress -- Leading Role,Mrs. Brown,Judi Dench,Queen Victoria,FALSE
1997,Actress -- Leading Role,As Good as It Gets,Helen Hunt,Carol Connelly,TRUE
1997,Actress -- Leading Role,Titanic,Kate Winslet,Rose DeWitt Bukater,FALSE
1997,Actress -- Supporting Role,L.A. Confidential,Kim Basinger,Lynn Bracken,TRUE
1997,Actress -- Supporting Role,In & Out,Joan Cusack,Emily Montgomery,FALSE
1997,Actress -- Supporting Role,Good Will Hunting,Minnie Driver,Skylar,FALSE
1997,Actress -- Supporting Role,Boogie Nights,Julianne Moore,Amber Waves,FALSE
1997,Actress -- Supporting Role,Titanic,Gloria Stuart,Old Rose,FALSE
1997,Directing,The Full Monty,"",,FALSE
1997,Directing,Good Will Hunting,"",,FALSE
1997,Directing,L.A. Confidential,"",,FALSE
1997,Directing,The Sweet Hereafter,"",,FALSE
1997,Directing,Titanic,"",,TRUE
1996,Actor -- Leading Role,Jerry Maguire,Tom Cruise,Jerry Maguire,FALSE
1996,Actor -- Leading Role,The English Patient,Ralph Fiennes,Almasy,FALSE
